1	84.9
2	30.2
3	30
4	33.5
5	41.6
6	32.5
7	30.6
8	30.1
9	429.2
10	26.1
11	30
12	70.9
13	30
14	56.4
15	30
16	35.1
17	30
18	30
19	60.8
20	31.1
21	30.1
22	343.5
23	30
24	30
25	30
26	55.1
27	30
28	45.5
29	38.7
30	30
31	30
32	30
33	36.1
34	30
35	30
36	30
37	38.7
38	30
39	30
40	30
41	30
42	30
43	30
44	30
45	30
46	30
47	30
48	66.0
49	230.3
50	30
51	71.2
52	34.7
53	30
54	30
55	49.9
56	372.7
57	43.1
58	30
59	30
60	30
61	30
62	30
63	96.6
64	88.5
65	30
66	23.5
67	34.3
68	30
69	16.7
70	30
71	30
72	30
73	72.3
74	30
75	157.5
76	30
77	30
78	30
79	36.1
80	55.5
81	49.0
82	1154.6
83	39.5
84	30
85	30
86	178.5
87	30
88	36.8
89	30
90	30
91	30
92	37.4
93	30
94	30
95	36.8
96	33.0
97	30
98	30
99	30
100	30
101	33.9
102	54.3
103	1202.0
104	80.4
105	42.4
106	30
107	34.5
108	44.6
109	30
110	51.2
111	30
112	30
113	30
114	37.3
115	30
116	30.1
117	30
118	30.7
119	30
120	30
121	35.5
122	30.4
123	30
124	30
125	30
126	30
127	37.2
128	56.8
129	30
130	30
131	30
132	30
133	30
134	34.5
135	486.6
136	30
137	30
138	61.8
139	30
140	43.8
141	30
142	30
143	37.1
144	36.3
145	30
146	30
147	42.4
148	30
149	30
150	431.5
151	33.4
152	30
153	43.9
154	30
155	30
156	39.5
157	42.6
158	30
159	30
160	30
161	49.4
162	40.2
163	30
164	59.4
165	30
166	30
167	30
168	38.1
169	30
170	30
171	14.2
172	71.4
173	36.4
174	106.1
175	105.2
176	30
177	30
178	30
179	30
180	30
181	30
182	36.6
183	30
184	30
185	30
186	53.6
187	30
188	30
189	30
190	30
191	30
192	30
193	30
194	30
195	30
196	30
197	189.0
198	30
199	34.1
200	30
201	30
202	30
203	30
204	38.9
205	30
206	30
207	30
208	36.1
209	30
210	58.5
211	34.7
212	33.6
213	30
214	64.9
215	30
216	30
217	130.8
218	40.9
219	30
220	30
221	30
222	30
223	30
224	219.5
225	30
226	30
227	30
228	30
229	30
230	30
231	30
232	30
233	30
234	30
235	186.9
236	30
237	34.7
238	31.7
239	31.7
240	30
241	30
242	41.0
243	30
244	35.9
245	30
246	30.4
247	30
248	35.5
249	30
250	30.2
251	30
252	30
253	30
254	30
255	30
256	30
257	30
258	327.4
259	30
260	30
261	30
262	30
263	30
264	30
265	30
266	30
267	36.9
268	52.0
269	30
270	30
271	30
272	30
273	30
274	51.0
275	30
276	30
277	30
278	30
279	39.7
280	30
281	30
282	30
283	30
284	30
285	47.7
286	30
287	46.7
288	125.1
289	30
290	30
291	30
292	30
293	32.8
294	120.5
295	30
296	70.7
297	30
